year,month,month_num,date,nationality,female,male,undefined,total
2012,Enero,1,1/1/2012,Islas Alboran y Perejil,1,0,0,1
2012,Enero,1,1/1/2012,Albania,1,2,0,3
2012,Enero,1,1/1/2012,Alemania,1396,2439,0,3835
2012,Enero,1,1/1/2012,Andorra,6,11,0,17
2012,Enero,1,1/1/2012,Angola,1,1,0,2
2012,Enero,1,1/1/2012,Antigua y Barbuda,1,1,0,2
2012,Enero,1,1/1/2012,Paises Bajos,798,1418,0,2216
2012,Enero,1,1/1/2012,Argelia,3,4,0,7
2012,Enero,1,1/1/2012,Argentina,5696,6082,0,11778
2012,Enero,1,1/1/2012,Aruba,0,2,0,2
2012,Enero,1,1/1/2012,Australia,379,678,0,1057
2012,Enero,1,1/1/2012,Austria,151,328,0,479
2012,Enero,1,1/1/2012,Azerbaiyan,1,2,0,3
2012,Enero,1,1/1/2012,Bahamas,2,5,0,7
2012,Enero,1,1/1/2012,Bahrein,0,1,0,1
2012,Enero,1,1/1/2012,Bangladesh,0,1,0,1
2012,Enero,1,1/1/2012,Barbados,3,3,0,6
2012,Enero,1,1/1/2012,Republica de Belarus,5,5,0,10
2012,Enero,1,1/1/2012,Belgica,172,380,0,552
2012,Enero,1,1/1/2012,Belice,9,11,0,20
2012,Enero,1,1/1/2012,Bermudas/Territorio Britanico de Ultramar,0,2,0,2
2012,Enero,1,1/1/2012,Bolivia,404,512,0,916
2012,Enero,1,1/1/2012,Bosnia y Herzegovina,0,1,0,1
2012,Enero,1,1/1/2012,Botsuana,0,1,0,1
2012,Enero,1,1/1/2012,Brasil,4231,5579,0,9810
2012,Enero,1,1/1/2012,Bulgaria,8,13,0,21
2012,Enero,1,1/1/2012,Burkina Faso,1,0,0,1
2012,Enero,1,1/1/2012,Islas Caiman/Territorio Britanico de Ultramar,2,8,0,10
2012,Enero,1,1/1/2012,Camerun,1,2,0,3
2012,Enero,1,1/1/2012,Canada,2785,3644,0,6429
2012,Enero,1,1/1/2012,Chad,0,2,0,2
2012,Enero,1,1/1/2012,España,2381,5165,0,7546
2012,Enero,1,1/1/2012,Republica Democratica del Congo,0,3,0,3
2012,Enero,1,1/1/2012,Republica de Corea,145,344,0,489
2012,Enero,1,1/1/2012,Costa de Marfil,1,1,0,2
2012,Enero,1,1/1/2012,Costa Rica,960,1107,0,2067
2012,Enero,1,1/1/2012,Croacia,11,18,0,29
2012,Enero,1,1/1/2012,Cuba,172,282,0,454
2012,Enero,1,1/1/2012,Curazao,1,1,0,2
2012,Enero,1,1/1/2012,Republica Checa,54,82,0,136
2012,Enero,1,1/1/2012,Chile,2251,3278,0,5529
2012,Enero,1,1/1/2012,China,113,264,0,377
2012,Enero,1,1/1/2012,Chipre,1,2,0,3
2012,Enero,1,1/1/2012,Dinamarca,72,171,0,243
2012,Enero,1,1/1/2012,Dominica,1,5,0,6
2012,Enero,1,1/1/2012,Ecuador,3068,4894,0,7962
2012,Enero,1,1/1/2012,Egipto,0,9,0,9
2012,Enero,1,1/1/2012,El Salvador,373,554,0,927
2012,Enero,1,1/1/2012,Eslovaquia,16,37,0,53
2012,Enero,1,1/1/2012,Eslovenia,35,43,0,78
2012,Enero,1,1/1/2012,Estados Unidos de America,6889,14798,0,21687
2012,Enero,1,1/1/2012,Estonia,10,14,0,24
2012,Enero,1,1/1/2012,Etiopia,0,2,0,2
2012,Enero,1,1/1/2012,Filipinas,28,146,0,174
2012,Enero,1,1/1/2012,Finlandia,270,289,0,559
2012,Enero,1,1/1/2012,Francia,1319,2117,0,3436
2012,Enero,1,1/1/2012,Gabon,0,1,0,1
2012,Enero,1,1/1/2012,Georgia,1,0,0,1
2012,Enero,1,1/1/2012,Ghana,0,5,0,5
2012,Enero,1,1/1/2012,Granada,0,1,0,1
2012,Enero,1,1/1/2012,Grecia,13,97,0,110
2012,Enero,1,1/1/2012,Guatemala,209,405,0,614
2012,Enero,1,1/1/2012,Guyana,3,2,0,5
2012,Enero,1,1/1/2012,Guinea,1,0,0,1
2012,Enero,1,1/1/2012,Guinea Ecuatorial,0,1,0,1
2012,Enero,1,1/1/2012,Guayana Francesa/Departamento de Ultramar Frances,0,1,0,1
2012,Enero,1,1/1/2012,Haiti,7,24,0,31
2012,Enero,1,1/1/2012,Honduras,127,219,0,346
2012,Enero,1,1/1/2012,Hungria,43,59,0,102
2012,Enero,1,1/1/2012,India,41,239,0,280
2012,Enero,1,1/1/2012,Indonesia,17,16,0,33
2012,Enero,1,1/1/2012,Iran,3,14,0,17
2012,Enero,1,1/1/2012,Republica de Irlanda,63,162,0,225
2012,Enero,1,1/1/2012,Islandia,9,6,0,15
2012,Enero,1,1/1/2012,Isla de Man,88,206,0,294
2012,Enero,1,1/1/2012,Isla Johnston,0,2,0,2
2012,Enero,1,1/1/2012,Israel,99,459,0,558
2012,Enero,1,1/1/2012,Islas Aland/Provincia de Finlandia,1,0,0,1
2012,Enero,1,1/1/2012,Isla Wake,0,1,0,1
2012,Enero,1,1/1/2012,Italia,726,2431,0,3157
